SMS,Sentiment
مصرف الراجحي تم إيقاف حسابك لتنشيط الحساب اتصل بنا ٠٥٨٢٧٥٠٧٣٥,1
"!! إغلاق !!
حسابك في الراجحي اتصل الان.
٠٥٨١٨٩٢٨٠٤",1
"عزيزنا العميل، 
نود اعلامك بأنه سوف يتم تعليق خدمة موبايلي فايبر لديكم خلال 24 ساعة، وذلك بسبب عدم سداد فاتورة خدمة موبايلي فايبر لشهر أغسطس بمبلغ 289.36 ريال.  
لتجنب انقطاع الخدمة، يرجى سداد الفاتورة المستحقة في أقرب وقت ممكن. 
رقم حساب خدمة موبايلي فايبر هو 1001246854807501، يرجى استخدام هذا الرقم عند الدفع. 
وللمساعدة يسعدنا تواصلك عن طريق قنوات التواصل: 
مركز موبايلي للدعم والمساعدة: 
https://support.mobily.com.sa 
البريد الإلكتروني: 
info@mobily.com.sa",1
"عزيز العميل!تنبيه
حسابك بنك الراجحي لاتعمل تصل رقم هذا 
٠٥٩٣١٨٢٠٤٧
قم بحظر حسابك المصرفي الأهلي مزيد من المعلومات اتصل هنا
0543915438",1
"حساب تسجيل الدخول الجديد (usdtrust.top): tkkae ، كلمة المرور: qz86523 ، الرصيد الحالي: 7،135،488USDT ، لا تشاركه مع الآخرين",1
"تعال وانضم إلينا في كأس العالم 2022 في قطر واكسب 20% حتى 1000 دولار عند أول عملية إيداع تقوم  https://bit.ly/3tdB24f
WhatsApp：+447851537868",1
"لدينا أشياء عظيمة لك ! قم بدعوة أصدقائك للانضمام إلى كأس العالم  2022 وسوف نعقد صفقة مربحة معك! https://bit.ly/3EgAUHu
WhatsApp：+447756049300",1
"[9:43 PM, 3/4/2023] أمي الحبيبة: اتصال جديد (usdtdollars.top) حساب: jek221 ، كلمة المرور: jk2212 ، الرصيد الحالي: 2،504.769،219USDT ، من فضلك لا تشارك مع أي شخص
[9:44 PM, 3/4/2023] أمي الحبيبة: ",1
"مرحبًا. أنا مدير توظيف في STZ. بسبب الشواغر. سوف ندعوك للعمل بدوام جزئي من المنزل. كل ما تحتاجه هو هاتف محمول. الراتب 50-3000 ريال سعودي في اليوم.

انقر فوق الرابط لإضافته تلقائيًا: t.me/STZWilliam

اتصل بي على Telegram: @ STZWilliam",1
"عزیزي العمیل ، لقد ربحت جاٸزة 200,000 ماٸتي ألف ریال من لولو هایبر مارکت، رقم الملف 115، اتصل بنا علی هذا الرقم،،0537518254",1
عزيزي العميل.بطاقه صراف وقف لازم اسوي تحديث اتصل رقم0591795820,1
"عزيزالعميل تم حظر بطاقة الصراف الآلي الخاصة بك. لأنك لا تملك التحديث بعد.اتصل بهذا الرقم على الفور للتحديث.
٠٥٧١٧٩٣٣٨٦
٠٥٥٩٧٢١٨٧٤
",1
"عزيزالعميل تم حظر بطاقة الصراف الآلي الخاصة بك. لأنك لا تملك التحديث بعد.اتصل بهذا الرقم على الفور للتحديث،0573239824/٠٥٤٦٩٤٩٨٢١
",1
"حسابVIP
محمد
افتح حساب تداول عبر النت
http://bit.ly/2HXECWu
",1
"عرض خاص:إبتسامة هوليود7500/تقويم2400/زراعة1900/تركيبةسن550/ج0546916851
",1
تجديد مصرف الراجحي تواصل معنا 0572112694,1
تم حظر حسابك المصرفي مؤقتا. انقر ادناه الرابط لتحديث مجانا. Https://atifzzzz.000webhostapp.com/c2/,1
عزيزالعميل تم حظر بطاقة الصراف الآلي الخاصة بك. لأنك لا تملك التحديث بعد.اتصل بهذا الرقم على الفور للتحديث0547816725,1
هذه هي قواعد حكومة المملكة العربية السعودية وقد تم إغلاق بطاقة الصراف الآلي الخاصة بك اتصل بنا هذا الرقم 0582793054,1
"تريد تحديث بطاقة ,فاتصل بهذا الرقم 0596462942 0590273143",1
"آخر أيام! لحق على تخفيضاتنا على أجهزة المطبخ حتى 60%!
bit.ly/3O243ts",1
آخر ٤ أيام على تخفيضات ردتاغ! خصم ٢٠٪ -٧٠٪ أسرع إلى أقرب ردتاغ الآن,1
"العرض الخاص! الأسعار تبدأ من ١٠ ،١٥ ،٢٠ ريال أسرع إلى ردتاغ اليوم",1
لقد أضفنا لك 1500 نقاط! تسوق واستبدل نقاطك بقيمة 27 ر حتى ٢٩ فبراير,1
"آخر ٤ أيام وينتهي العرض الخاص! الأسعار من ١٠ ،١٥ ،٢٠ ر أسرع إلى ردتاغ",1
أجدد تشكيلات الربيع متاحة الآن! أسرع اليوم إلى أقرب ردتاغ,1
قسيمة مجانية ب٥٠ر عند تسوق آخر تشكيلة الربيع بردتاغ بقيمة ٢٥٠ر أو أكثر,1
"ربحت 1500 نقطة بقيمة 15 ر تسوق واستبدل بردتاغ، لديك 27 ر حتى 22 مايو",1
تخفيضات ردتاغ الكبرى بدأت! خصم من ٢٠٪ -٧٠٪ سارع إلى ردتاغ اليوم,1
أكبر تخفيضات ردتاغ متاحة الآن! خصم ٢٠٪ - ٥٠٪ أسرع إلى ردتاغ اليوم,1
تخفيضات إضافية! قطع أكثر بأقل من ٣٠ ر ضمن خصم ٢٠ - ٥٠٪ أسرع إلى ردتاغ,1
اشتر٤ قطع بسعر٩٠ريال فقط! أسرع إلى ردتاغ اليوم. العرض ينتهى قريباً.,1
أشترى٢ وأحصل على١مجاناً! اسرع إلى ردتاغ قبل أن تنتهي أزيائك المفضلة!,1
تشكيلة الشتاء الرائعة بردتاغ ! قسيمة مجانية ب٥٠ر عند تسوقك بقيمة ٢٥٠ر.,1
آخر٤ أيام!تسوق بقيمة ۲٥۰ر وأحصل على قسيمة مجانية ب٥۰ر. bit.ly/3kaV1dQ,1
استرجع النصف! قسيمة ب 150 ر عند الشراء ب 300 ر أسرع إلى أقرب ردتاغ,1
تخفيضات ردتاغ الكبرى بدأت! خصم من ٢٠٪ -٥٠٪ سارع اليوم bit.ly/31VHHmZ,1
آخر5أيام!قسيمة مجانية ب50رعند شرائك ب250ر. فرصة فوزبسامسونجS21الترا5G,1
"سعرأقل20,15,10رتسوق تشكيلة شتاء.زُرمتجرنا أو تسوق اونلاين redtag.la/SO",1
عرض رائع-ثلاث أضعاف نقاط التسوق ب200ر من أحدث تشكيلة ربيع حتي28فبراير!,1
آخر4أيام.ردتاغ ثلاث إبتسامات-هدية للشراءب250ر+فرصة فوز بجزء من المليون,1
"10فائزين بسياره+جوائزنقدية يومية ب10,000ر+هدية لشراء ب250ر redtag.la/a",1
"رمضان,نفتح أيضا من 5ص - 9ص تسوق واربح من جوائز نقدية يومية ب10,000ريال",1
تذكير!لديك نقاط ب 25رتمتع بتشكيلة صيف أكثرأناقة من ردتاغ.تسوق الأن!,1
ردتاغ تحتفل بيوم ميلادك!هدية1500نقطة ب15ر تسوق واستبدل قبل 3 Mar 2023.,1
لا تفوت الفرصة!15ر من نقاط يوم ميلادك ستنتهي في28 فبراير redtag.la/SV,1
"لحق.. تنزيلات ميداس حتى ٥٠٪ مع خصومات اضافية لنهاية العام
Bit.ly/sksA",1
"بدأت تنزيلات العيد لدى ميداس حتى ٥٠%
bit.ly/KSAsale4",1
"عرض يوم التأسيس خصم 22%والضريبة علينا من ميداس للأثاث
bit.ly/ksafeb22",1
